dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1672531200,2023-01-01 00:00:00 +0000 UTC,local,12.93,12.76,12.72,13.43,1019,,,95,2.02,3.72,100,moderate rain
1672534800,2023-01-01 01:00:00 +0000 UTC,local,13.49,13.38,13.43,13.9,1018,,,95,2.18,3.26,100,moderate rain
1672538400,2023-01-01 02:00:00 +0000 UTC,local,13.55,13.44,13.48,14.82,1017,,,95,2.88,2.44,100,moderate rain
1672542000,2023-01-01 03:00:00 +0000 UTC,local,13.61,13.51,12.01,14.82,1016,,,95,3.63,1.74,100,moderate rain
1672545600,2023-01-01 04:00:00 +0000 UTC,local,13.59,13.49,12.01,14.82,1015,,,95,4.58,1.13,100,moderate rain
1672549200,2023-01-01 05:00:00 +0000 UTC,local,13.7,13.61,13.12,15.82,1014,,,95,6.36,1.23,99,moderate rain
1672552800,2023-01-01 06:00:00 +0000 UTC,local,14.22,14.18,14.04,16.12,1014,,,95,8.55,1.2,100,moderate rain
1672556400,2023-01-01 07:00:00 +0000 UTC,local,15.3,15.31,14.79,16.82,1015,,,93,8.37,2.2,100,moderate rain
1672560000,2023-01-01 08:00:00 +0000 UTC,local,16.8,16.55,15.66,16.82,1015,,,77,8.29,2.2,100,moderate rain
1672563600,2023-01-01 09:00:00 +0000 UTC,local,16.61,16.31,14.72,16.82,1014,,,76,8.38,2.13,100,moderate rain
1672567200,2023-01-01 10:00:00 +0000 UTC,local,15.03,14.86,13.72,15.15,1015,,,87,7.31,2.04,100,moderate rain
1672570800,2023-01-01 11:00:00 +0000 UTC,local,13.76,13.65,13.34,14.04,1014,,,94,7.36,3.1,100,moderate rain
1672574400,2023-01-01 12:00:00 +0000 UTC,local,14.1,14.02,13.34,14.82,1014,,,94,6.82,4.96,100,heavy intensity rain
1672578000,2023-01-01 13:00:00 +0000 UTC,local,14.1,14.05,13.9,14.82,1014,,,95,4.85,6.11,100,heavy intensity rain
1672581600,2023-01-01 14:00:00 +0000 UTC,local,13.92,13.82,12.72,14.04,1014,,,94,3.26,6.38,100,heavy intensity rain
1672585200,2023-01-01 15:00:00 +0000 UTC,local,13.5,13.36,12.57,13.82,1015,,,94,1.97,6.16,100,heavy intensity rain
1672588800,2023-01-01 16:00:00 +0000 UTC,local,13.3,13.17,11.68,13.48,1015,,,95,1.77,5.42,100,heavy intensity rain
1672592400,2023-01-01 17:00:00 +0000 UTC,local,11.83,11.55,11.72,12.32,1015,,,95,1.67,3.76,100,moderate rain
1672596000,2023-01-01 18:00:00 +0000 UTC,local,11.32,10.99,11.26,11.82,1016,,,95,2.22,2.03,100,moderate rain
1672599600,2023-01-01 19:00:00 +0000 UTC,local,10.73,10.34,10.57,11.77,1017,,,95,2.71,1.3,100,moderate rain
