dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1630454400,2021-09-01 00:00:00 +0000 UTC,local,18.74,18.84,15.72,20.34,1015,,,83,1.18,,78,broken clouds
1630458000,2021-09-01 01:00:00 +0000 UTC,local,18.73,18.83,15.72,20.34,1014,,,83,1.46,,92,overcast clouds
1630461600,2021-09-01 02:00:00 +0000 UTC,local,17.84,17.98,16.72,20.34,1014,,,88,1.05,,91,overcast clouds
1630465200,2021-09-01 03:00:00 +0000 UTC,local,18.27,18.4,16.68,20.34,1014,,,86,0.46,0.14,94,light rain
1630468800,2021-09-01 04:00:00 +0000 UTC,local,17.81,17.97,16.12,20.34,1013,,,89,0.93,1.26,95,moderate rain
1630472400,2021-09-01 05:00:00 +0000 UTC,local,17.89,18.06,16.12,17.93,1014,,,89,1.1,0.96,94,light rain
1630476000,2021-09-01 06:00:00 +0000 UTC,local,18.27,18.48,16.12,18.48,1014,,,89,1.21,0.11,93,light rain
1630479600,2021-09-01 07:00:00 +0000 UTC,local,19.44,19.69,16.68,19.59,1015,,,86,1.27,4.55,95,heavy intensity rain
1630483200,2021-09-01 08:00:00 +0000 UTC,local,18.92,19.19,16.68,19.04,1015,,,89,2.33,3.38,99,moderate rain
1630486800,2021-09-01 09:00:00 +0000 UTC,local,18.98,19.28,17.23,19.04,1015,,,90,2.23,0.52,100,light rain
1630490400,2021-09-01 10:00:00 +0000 UTC,local,21.63,21.86,18.43,21.82,1016,,,77,3.24,0.79,100,light rain
1630494000,2021-09-01 11:00:00 +0000 UTC,local,24.4,24.62,20.57,24.59,1015,,,66,1.86,0.57,99,light rain
1630497600,2021-09-01 12:00:00 +0000 UTC,local,23.84,24,20.67,24.04,1015,,,66,1.46,0.34,97,light rain
1630501200,2021-09-01 13:00:00 +0000 UTC,local,25.47,25.67,21.72,25.7,1015,,,61,1.26,,88,overcast clouds
