Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh)
2021-09-29,00,0,0,0,None
2021-09-29,01,0,0,0,None
2021-09-29,02,0,0,0,None
2021-09-29,03,0,0,0,None
2021-09-29,04,0,0,0,None
2021-09-29,05,0,0,0,None
2021-09-29,06,0,0,0,None
2021-09-29,07,0,0,0,None
2021-09-29,08,0,0,0,None
2021-09-29,09,0,0,0,None
2021-09-29,10,0,0,0,None
2021-09-29,11,0,0,0,None
2021-09-29,12,0,0,0,None
2021-09-29,13,0,0,0,None
2021-09-29,14,0,0,0,None
2021-09-29,15,0.215,0,0,None
2021-09-29,16,0.433,0,0.149,Low
2021-09-29,17,0.292,0,0.315,Low
2021-09-29,18,0.522,0,0.06,None
2021-09-29,19,0.581,0,0,None
2021-09-29,20,0.506,0,0,None
2021-09-29,21,0.534,0,0,None
2021-09-29,22,0.726,0,0,None
2021-09-29,23,0.662,0,0,None
2021-09-30,00,0.704,0,0,None
2021-09-30,01,0.466,0,0,None
2021-09-30,02,0.356,0,0,None
2021-09-30,03,0.355,0,0,None
2021-09-30,04,0.346,0,0,None
2021-09-30,05,0.351,0,0,None
2021-09-30,06,0.454,0,0,None
2021-09-30,07,0.372,0,0.002,None
2021-09-30,08,0.366,0,0.228,Medium
2021-09-30,09,0,0,0.268,High
2021-09-30,10,0,0,0.268,High
2021-09-30,11,0,0,0.278,Very High
2021-09-30,12,0.026,0,0.352,Very High
2021-09-30,13,0.003,0,0.378,High
2021-09-30,14,0,0,0.45,High
2021-09-30,15,0,0,0.42,High
2021-09-30,16,0.054,0,0.35,High
2021-09-30,17,0.105,0,0.216,Low
2021-09-30,18,0.419,0,0.032,None
2021-09-30,19,0.341,0,0,None
2021-09-30,20,0.585,0,0,None
2021-09-30,21,0.523,0,0,None
2021-09-30,22,0.562,0,0,None
2021-09-30,23,0.599,0,0,None
2021-10-01,00,0.611,0,0,None
2021-10-01,01,0.557,0,0,None
2021-10-01,02,0.446,0,0,None
2021-10-01,03,0.336,0,0,None
2021-10-01,04,0.306,0,0,None
2021-10-01,05,0.268,0,0,None
2021-10-01,06,0.279,0,0,None
2021-10-01,07,0.281,0,0,None
2021-10-01,08,0.585,0,0.047,None
2021-10-01,09,0.064,0,0.187,Low
2021-10-01,10,0.005,0,0.248,High
2021-10-01,11,0,0,0.258,Very High
2021-10-01,12,0,0,0.262,Very High
2021-10-01,13,0.025,0,0.329,Very High
2021-10-01,14,0.014,0,0.34,High
2021-10-01,15,0.02,0,0.373,High
2021-10-01,16,0.052,0,0.376,Medium
2021-10-01,17,0.189,0,0.267,Low
2021-10-01,18,0.714,0,0.034,None
2021-10-01,19,0.422,0,0,None
2021-10-01,20,0.374,0,0,None
2021-10-01,21,0.255,0,0,None
2021-10-01,22,0.324,0,0,None
2021-10-01,23,0.331,0,0,None
2021-10-02,00,0.328,0,0,None
2021-10-02,01,0.526,0,0,None
2021-10-02,02,0.328,0,0,None
2021-10-02,03,0.262,0,0,None
2021-10-02,04,0.256,0,0,None
2021-10-02,05,0.256,0,0,None
2021-10-02,06,0.287,0,0,None
2021-10-02,07,0.377,0,0,None
2021-10-02,08,0.215,0,0.064,None
2021-10-02,09,0.087,0,0.167,Low
2021-10-02,10,0.052,0,0.201,Low
2021-10-02,11,0.099,0,0.27,Medium
2021-10-02,12,0.265,0,0.29,Low
2021-10-02,13,0.741,0,0.214,None
2021-10-02,14,0.202,0,0.261,Low
2021-10-02,15,0.735,0,0.244,Low
2021-10-02,16,0.936,0,0.144,None
2021-10-02,17,0.418,0,0.056,None
2021-10-02,18,0.388,0,0.016,None
